,Unnamed: 0,year,food_category,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_inedible_parts,tons_not_fit_for_human_consumption,tons_donations,tons_industrial_uses,tons_animal_feed,tons_anaerobic_digestion,tons_composting,tons_not_harvested,tons_incineration,tons_land_application,tons_landfill,tons_sewer,tons_dumping,gallons_water_footprint,meals_wasted,food_name_food_waste,best_match,score,food_name,serving_size,protein,percent_daily_value,fat,carbs,calories,fiber,calcium,iron,potassium,sodium,phosphorus
26,26,2023,Garlic,25827.62192,219108.225,39753376.9639594,17661.55908931228,25254.30847953587,3357.5908495999997,9269.252256447906,573.3134404641281,0.0,7592.749390223591,0.0,0.0,14458.225,8.197346788743774,0.0,293.04399196961623,0.0,2902.0927505539203,789201120.365089,42090514.132559784,garlic,garlic,1.0,garlic,24.666666666666668,4.166666666666667,10.0,9.533333333333331,11.696666666666664,173.66666666666666,0.0,0.2223333333333333,0.0,,0.8126666666666666,
27,27,2023,Garlic,25827.62192,219108.225,39753376.9639594,17661.55908931228,25254.30847953587,3357.5908495999997,9269.252256447906,573.3134404641281,0.0,7592.749390223591,0.0,0.0,14458.225,8.197346788743774,0.0,293.04399196961623,0.0,2902.0927505539203,789201120.365089,42090514.132559784,garlic,garlic naan,0.7058823529411765,garlic naan,42.0,7.14,3.0,9.52,47.6,310.0,2.4,0.071,0.0023799999999999,0.095,0.81,
28,28,2023,Grapefruit,141981.99,474890.31999999995,84019376.97,132081.97607003,140057.55589047202,69571.1751,59021.28659584018,1924.434109528,0.0,7975.579820442,0.0,0.0,127890.32,134.29330935515634,0.0,1555.5950007548438,0.0,2501.76775992,4357429796.859123,233429259.81745335,grapefruit,grapefruit,1.0,grapefruit,214.25,0.355,22.0,0.0,10.535,42.75,1.4,0.017,,0.1195,0.0,
29,29,2023,Grapes,438028.9528,6811878.952799999,506005070.80999994,438028.9528,438028.9528,17521.158112,173412.40488861292,0.0,0.0,0.0,0.0,0.0,438028.9528,0.0,0.0,0.0,0.0,0.0,13534842461.836472,730048254.6666666,grapes,grapes,1.0,grapes,57.0,0.0,0.0,0.0,17.5,79.0,1.8,0.018,0.00035,0.193,0.0,
30,30,2023,Green Beans,96879.22228877322,891486.6042006506,83034780.5606718,78761.90459105853,95607.26272189053,5812.753337326393,60757.95036907585,1271.9595668826971,0.0,16845.358130831995,0.0,0.0,71654.95200065058,116.88775805663266,0.0,551.4496220404628,0.0,6438.6152103108525,2973860784.77046,159345437.86981755,green beans,green beans,1.0,green beans,91.6,2.3280000000000003,0.25,0.961,10.5865,57.5,3.0749999999999997,0.04205,0.0009754999999999,0.2062307692307692,0.079,
31,31,2023,Honeydew,19538.722163416667,177254.7586634167,11733289.999999998,19538.722163416667,19538.722163416667,10550.909968244998,9361.551711447832,0.0,0.0,0.0,0.0,0.0,19538.722163416667,0.0,0.0,0.0,0.0,0.0,603735266.1210603,32564536.939027783,honeydew,honeydew chunk,0.7272727272727273,honeydew chunk,45.0,0.0,0.0,0.0,8.89,33.0,0.0,0.016,0.0,0.158,0.022,
32,32,2023,Honeydew,19538.722163416667,177254.7586634167,11733289.999999998,19538.722163416667,19538.722163416667,10550.909968244998,9361.551711447832,0.0,0.0,0.0,0.0,0.0,19538.722163416667,0.0,0.0,0.0,0.0,0.0,603735266.1210603,32564536.939027783,honeydew,honeydew chunks,0.6956521739130435,honeydew chunks,123.0,0.4666666666666666,0.0,0.0,9.236666666666666,35.0,0.8666666666666667,0.002,0.00013,0.197,0.018,
33,33,2023,Honeydew,19538.722163416667,177254.7586634167,11733289.999999998,19538.722163416667,19538.722163416667,10550.909968244998,9361.551711447832,0.0,0.0,0.0,0.0,0.0,19538.722163416667,0.0,0.0,0.0,0.0,0.0,603735266.1210603,32564536.939027783,honeydew,honeydew sliced,0.6956521739130435,honeydew sliced,140.0,0.71,0.0,0.0,9.29,36.0,0.7,0.006,0.0,0.228,0.018,
34,34,2023,Kiwis,14316.99694284,37481.282,40729243.7116968,11275.555019922904,14098.701415521036,3436.0792662815993,7602.963003444764,218.29552731896587,0.0,2823.146395598128,0.0,0.0,10081.282,3.218582088341277,0.0,114.11336685959245,0.0,1076.9410709749718,439014359.9698165,23497835.692535058,kiwis,kiwi,0.8888888888888888,kiwi,128.33333333333334,1.08,0.0,0.544,29.26,119.4,2.8199999999999994,0.0462,0.000432,0.311,0.028,
35,35,2023,Lemons,445176.96,1488993.28,340469538.66,414135.99413312,439142.999449088,209233.17119999995,185058.09745323955,6033.960550912001,0.0,25007.005315968,0.0,0.0,400993.28,137.86579505270709,0.0,5160.688906387293,0.0,7844.15943168,13662488815.512178,731904999.0818135,lemons,lemons,1.0,lemons,67.16666666666667,0.52,0.0,0.0,8.804999999999998,26.833333333333332,3.283333333333333,0.02,0.0,0.1344,0.0003333333333333,
